RowID,Scores
0,0.369442
1,0.416224
2,0.348922
3,0.379357
4,0.370302
5,0.350414
6,0.367863
7,0.376961
8,0.391514
9,0.382227
10,0.387404
11,0.391084
12,0.370749
13,0.388084
14,0.349057
15,0.400814
16,0.375278
17,0.385763
18,0.434519
19,0.355775
20,0.366536
21,0.364806
22,0.374272
23,0.365416
24,0.356770
25,0.426877
26,0.382139
27,0.363090
28,0.384107
29,0.351500
30,0.367447
31,0.352289
32,0.368463
33,0.412985
34,0.374621
35,0.404637
36,0.386395
37,0.353997
38,0.365521
39,0.350915
40,0.343962
41,0.366787
42,0.362609
43,0.384154
44,0.355569
45,0.363159
46,0.359857
47,0.380232
48,0.380804
49,0.379410
50,0.366998
51,0.404754
52,0.371879
53,0.373740
54,0.438253
55,0.373125
56,0.380041
57,0.349397
58,0.378841
59,0.372043
60,0.406017
61,0.387092
62,0.354815
63,0.357357
64,0.380604
65,0.348961
66,0.374915
67,0.388828
68,0.377007
69,0.413110
70,0.379237
71,0.411902
72,0.405770
73,0.370207
74,0.347717
75,0.373009
76,0.357968
77,0.371537
78,0.367486
79,0.395468
80,0.369912
81,0.370885
82,0.403284
83,0.368091
84,0.377891
85,0.384875
86,0.374298
87,0.377844
88,0.390300
89,0.351460
90,0.373537
91,0.372069
92,0.355998
93,0.379405
94,0.356242
95,0.398195
96,0.355777
97,0.374328
98,0.382535
99,0.380287
100,0.368190
101,0.382825
102,0.404868
103,0.378415
104,0.379337
105,0.371472
106,0.408206
107,0.355091
108,0.358199
109,0.364141
110,0.373276
111,0.354415
112,0.358134
113,0.364697
114,0.353287
115,0.355364
116,0.349298
117,0.404591
118,0.354989
119,0.378946
120,0.383847
121,0.368639
122,0.363327
123,0.369270
124,0.386687
125,0.355933
126,0.430824
127,0.377112
128,0.384168
129,0.365083
130,0.381084
131,0.404359
132,0.380980
133,0.391280
134,0.372641
135,0.351008
136,0.369691
137,0.353781
138,0.387307
139,0.373650
140,0.361366
141,0.383518
142,0.387816
143,0.348432
144,0.359911
145,0.353171
146,0.368310
147,0.417452
148,0.370480
149,0.357638
150,0.366707
151,0.409340
152,0.379896
153,0.364387
154,0.347523
155,0.383924
156,0.386010
157,0.364700
158,0.385130
159,0.350115
160,0.368495
161,0.394066
162,0.395207
163,0.398234
164,0.371494
165,0.380832
166,0.371214
167,0.374833
168,0.350753
169,0.356248
170,0.358146
171,0.384926
172,0.417314
173,0.380269
174,0.367066
175,0.349645
176,0.346671
177,0.360900
178,0.349835
179,0.372618
180,0.347655
181,0.374132
182,0.365142
183,0.421201
184,0.358471
185,0.359409
186,0.388517
187,0.375458
188,0.411334
189,0.349577
190,0.358726
191,0.356585
192,0.410920
193,0.358688
194,0.382016
195,0.363550
196,0.351198
197,0.381151
198,0.360049
199,0.376058
200,0.415493
201,0.417865
202,0.350910
203,0.346889
204,0.349454
205,0.356534
206,0.366043
207,0.389055
208,0.383008
209,0.376333
210,0.376486
211,0.371418
212,0.413041
213,0.352418
214,0.365622
215,0.367864
216,0.375427
217,0.386812
218,0.359470
219,0.387605
220,0.380467
221,0.375113
222,0.416982
223,0.372176
224,0.347033
225,0.395413
226,0.382939
227,0.353192
228,0.351817
229,0.357611
230,0.365816
231,0.357604
232,0.367003
233,0.372573
234,0.353824
235,0.371709
236,0.393588
237,0.379212
238,0.362861
239,0.348681
240,0.357913
241,0.373536
242,0.400996
243,0.379878
244,0.356749
245,0.382544
246,0.442287
247,0.373281
248,0.396939
249,0.364778
250,0.368943
251,0.352708
252,0.374989
253,0.370898
254,0.364980
255,0.358968
256,0.367083
257,0.365426
258,0.402956
259,0.403514
260,0.389566
261,0.363003
262,0.392662
263,0.366171
264,0.362414
265,0.349289
266,0.378438
267,0.346675
268,0.382044
269,0.387873
270,0.394690
271,0.379640
272,0.349267
273,0.363941
274,0.393291
275,0.373627
276,0.347960
277,0.381529
278,0.384605
279,0.349176
280,0.383712
281,0.362925
282,0.353469
283,0.383969
284,0.370057
285,0.406692
286,0.374169
287,0.446413
288,0.355298
289,0.373094
290,0.377520
291,0.399236
292,0.374488
293,0.378962
294,0.381957
295,0.365194
296,0.432425
297,0.410576
298,0.393177
299,0.371306
300,0.355891
301,0.373817
302,0.349239
303,0.371535
304,0.366040
305,0.442337
306,0.369624
307,0.355157
308,0.373045
309,0.368039
310,0.353874
311,0.439360
312,0.381858
313,0.392292
314,0.353724
315,0.385581
316,0.379859
317,0.363788
318,0.400303
319,0.400200
320,0.354164
321,0.368016
322,0.364705
323,0.362883
324,0.364607
325,0.360955
326,0.389593
327,0.399113
328,0.360045
329,0.349452
330,0.347499
331,0.372822
332,0.347514
333,0.383601
334,0.374038
335,0.366924
336,0.371688
337,0.382437
338,0.434795
339,0.388818
340,0.366502
341,0.359374
342,0.347565
343,0.393162
344,0.364499
345,0.348790
346,0.362987
347,0.400805
348,0.355247
349,0.367470
350,0.357073
351,0.378842
352,0.421430
353,0.405135
354,0.358558
355,0.382590
356,0.388467
357,0.346140
358,0.375794
359,0.357447
360,0.441234
361,0.373787
362,0.396568
363,0.375806
364,0.387530
365,0.369559
366,0.365578
367,0.398489
368,0.366784
369,0.368496
370,0.374785
371,0.393082
372,0.396093
373,0.382967
374,0.361833
375,0.383056
376,0.353203
377,0.347055
378,0.345783
379,0.369565
380,0.445010
381,0.365562
382,0.362919
383,0.355717
384,0.395366
385,0.347090
386,0.366012
387,0.371799
388,0.352159
389,0.361919
390,0.411119
391,0.382285
392,0.365507
393,0.347922
394,0.364528
395,0.377166
396,0.394099
397,0.359392
398,0.369816
399,0.392136
400,0.406165
401,0.365290
402,0.414200
403,0.370117
404,0.369518
405,0.444751
406,0.396893
407,0.407700
408,0.378309
409,0.353491
410,0.395913
411,0.356885
412,0.411664
413,0.390528
414,0.360039
415,0.373012
416,0.352049
417,0.360367
418,0.380795
419,0.349333
420,0.360744
421,0.404507
422,0.360225
423,0.391192
424,0.397326
425,0.384485
426,0.357224
427,0.351292
428,0.365091
429,0.369392
430,0.350443
431,0.375282
432,0.359561
433,0.364228
434,0.355766
435,0.364206
436,0.362925
437,0.442802
438,0.368280
439,0.366359
440,0.447135
441,0.375886
442,0.378922
443,0.359153
444,0.381074
445,0.408163
446,0.387904
447,0.386390
448,0.367277
449,0.426588
450,0.375407
451,0.378421
452,0.387060
453,0.392711
454,0.373326
455,0.350456
456,0.363278
457,0.360439
458,0.369775
459,0.395846
460,0.364066
461,0.429313
462,0.412519
463,0.398279
464,0.383853
465,0.395719
466,0.375549
467,0.378381
468,0.393104
469,0.382310
470,0.371148
471,0.349183
472,0.389798
473,0.351360
474,0.382048
475,0.467579
476,0.345478
477,0.414036
478,0.362654
479,0.364708
480,0.350291
481,0.365427
482,0.398437
483,0.362358
484,0.361761
485,0.372991
486,0.381054
487,0.365365
488,0.356522
489,0.351519
490,0.399175
491,0.363641
492,0.398561
493,0.412949
494,0.384104
495,0.385942
496,0.361294
497,0.356568
498,0.360584
499,0.359360
500,0.396460
501,0.410638
502,0.390871
503,0.434664
504,0.346834
505,0.366287
506,0.352054
507,0.357969
508,0.368245
509,0.374724
510,0.366236
511,0.355882
512,0.372410
513,0.407356
514,0.409725
515,0.354101
516,0.409092
517,0.366421
518,0.381266
519,0.355139
520,0.354749
521,0.348421
522,0.389077
523,0.376480
524,0.404970
525,0.387137
526,0.379673
527,0.408637
528,0.382048
529,0.346883
530,0.357427
531,0.361813
532,0.359398
533,0.375111
534,0.374841
535,0.401403
536,0.370196
537,0.352442
538,0.361187
539,0.393116
540,0.391696
541,0.378837
542,0.349804
543,0.372819
544,0.377408
545,0.376233
546,0.400840
547,0.402817
548,0.357407
549,0.437061
550,0.359156
551,0.350867
552,0.376108
553,0.384071
554,0.381042
555,0.363813
556,0.417883
557,0.377287
558,0.353501
559,0.438470
560,0.355724
561,0.403127
562,0.362774
563,0.362277
564,0.364601
565,0.366236
566,0.358944
567,0.360326
568,0.373172
569,0.395852
570,0.394532
571,0.362015
572,0.369262
573,0.373241
574,0.377195
575,0.360128
576,0.377727
577,0.361270
578,0.367881
579,0.368605
580,0.381278
581,0.421414
582,0.358119
583,0.376197
584,0.351325
585,0.376794
586,0.375895
587,0.397647
588,0.399547
589,0.364038
590,0.397452
591,0.358167
592,0.389099
593,0.375042
594,0.370561
595,0.373364
596,0.376420
597,0.402353
598,0.355369
599,0.378722
600,0.367392
601,0.363028
602,0.428577
603,0.366619
604,0.372556
605,0.359951
606,0.365735
607,0.379187
608,0.402995
609,0.368241
610,0.381938
611,0.405521
612,0.399654
613,0.358118
614,0.349678
615,0.376912
616,0.366842
617,0.380545
618,0.384384
619,0.368870
620,0.373987
621,0.355987
622,0.370445
623,0.379640
624,0.354629
625,0.417348
626,0.365667
627,0.358728
628,0.381935
629,0.400536
630,0.363318
631,0.393634
632,0.379015
633,0.378295
634,0.399542
635,0.366642
636,0.381899
637,0.400161
638,0.379014
639,0.358489
640,0.355938
641,0.364197
642,0.408485
643,0.386887
644,0.378428
645,0.368076
646,0.378365
647,0.348435
648,0.421097
649,0.367472
650,0.368780
651,0.390369
652,0.350684
653,0.393704
654,0.442427
655,0.403884
656,0.430149
657,0.382277
658,0.396293
659,0.371361
660,0.363107
661,0.366124
662,0.363027
663,0.349723
664,0.388507
665,0.440337
666,0.355839
667,0.351287
668,0.368800
669,0.355061
670,0.365475
671,0.415307
672,0.349114
673,0.383756
674,0.366189
675,0.349498
676,0.396318
677,0.424941
678,0.377305
679,0.360425
680,0.407038
681,0.402223
682,0.348358
683,0.356706
684,0.393450
685,0.371104
686,0.372352
687,0.372120
688,0.363028
689,0.357909
690,0.405541
691,0.395954
692,0.389380
693,0.367049
694,0.383908
695,0.348101
696,0.351710
697,0.362260
698,0.391785
699,0.360092
700,0.362536
701,0.423043
702,0.361405
703,0.375743
704,0.407523
705,0.377449
706,0.373023
707,0.358479
708,0.366565
709,0.374933
710,0.409649
711,0.405184
712,0.363835
713,0.393718
714,0.383051
715,0.388263
716,0.351576
717,0.423861
718,0.367562
719,0.439905
720,0.411088
721,0.418870
722,0.380278
723,0.370989
724,0.369610
725,0.351123
726,0.362830
727,0.369105
728,0.369097
729,0.382912
730,0.380776
731,0.393874
732,0.394753
733,0.364655
734,0.354985
735,0.349505
736,0.419095
737,0.427497
738,0.395645
